timestamp,host,input_kind,kernel,N,d,H,w,rho_requested,rho_achieved,nnz,rel_l2,linf,ms_median
2026-05-18T01:23:51Z,hpcc-gpu-5-1,mostly_local,windowed,1024,64,1,16,,,,4.102694e-01,5.047720e-01,0.1235
2026-05-18T01:23:51Z,hpcc-gpu-5-1,mostly_local,windowed,1024,64,1,32,,,,1.465630e-01,2.838042e-01,0.1232
2026-05-18T01:23:51Z,hpcc-gpu-5-1,mostly_local,windowed,1024,64,1,64,,,,5.313880e-02,8.622220e-02,0.1227
2026-05-18T01:23:51Z,hpcc-gpu-5-1,mostly_local,windowed,1024,64,1,128,,,,3.374717e-02,5.199188e-02,0.1922
2026-05-18T01:23:51Z,hpcc-gpu-5-1,mostly_local,windowed,1024,64,1,256,,,,2.494977e-02,4.587227e-02,0.3294
2026-05-18T01:23:51Z,hpcc-gpu-5-1,mostly_local,windowed,1024,64,1,512,,,,1.317837e-02,2.501465e-02,0.5606
2026-05-18T01:23:51Z,hpcc-gpu-5-1,mostly_local,blocksparse,1024,64,1,,0.0250,0.0469,12,1.179680e+00,8.804817e-01,0.0812
2026-05-18T01:23:51Z,hpcc-gpu-5-1,mostly_local,blocksparse,1024,64,1,,0.0500,0.0820,21,1.152590e+00,8.236696e-01,0.1147
2026-05-18T01:23:51Z,hpcc-gpu-5-1,mostly_local,blocksparse,1024,64,1,,0.1000,0.1172,30,1.171128e+00,9.095328e-01,0.1405
2026-05-18T01:23:51Z,hpcc-gpu-5-1,mostly_local,blocksparse,1024,64,1,,0.2500,0.2266,58,1.071016e+00,9.682392e-01,0.1999
2026-05-18T01:23:51Z,hpcc-gpu-5-1,mostly_local,blocksparse,1024,64,1,,0.5000,0.4648,119,9.386665e-01,9.555548e-01,0.3725
2026-05-18T01:23:51Z,hpcc-gpu-5-1,mostly_local,blocksparse,1024,64,1,,1.0000,1.0000,256,0.000000e+00,0.000000e+00,0.5462
2026-05-18T01:23:51Z,hpcc-gpu-5-1,global_needles,windowed,1024,64,1,16,,,,1.616766e+00,4.005960e+00,0.1225
2026-05-18T01:23:51Z,hpcc-gpu-5-1,global_needles,windowed,1024,64,1,32,,,,1.366117e+00,3.998645e+00,0.1231
2026-05-18T01:23:51Z,hpcc-gpu-5-1,global_needles,windowed,1024,64,1,64,,,,1.188711e+00,4.303957e+00,0.1227
2026-05-18T01:23:51Z,hpcc-gpu-5-1,global_needles,windowed,1024,64,1,128,,,,1.065501e+00,3.928712e+00,0.1920
2026-05-18T01:23:51Z,hpcc-gpu-5-1,global_needles,windowed,1024,64,1,256,,,,9.209254e-01,3.925036e+00,0.3293
2026-05-18T01:23:51Z,hpcc-gpu-5-1,global_needles,windowed,1024,64,1,512,,,,6.273885e-01,4.019004e+00,0.5599
2026-05-18T01:23:51Z,hpcc-gpu-5-1,global_needles,blocksparse,1024,64,1,,0.0250,0.0469,12,1.324331e+00,4.023713e+00,0.0812
2026-05-18T01:23:51Z,hpcc-gpu-5-1,global_needles,blocksparse,1024,64,1,,0.0500,0.0820,21,1.316800e+00,4.074744e+00,0.1144
2026-05-18T01:23:51Z,hpcc-gpu-5-1,global_needles,blocksparse,1024,64,1,,0.1000,0.1172,30,1.329645e+00,4.074744e+00,0.1396
2026-05-18T01:23:51Z,hpcc-gpu-5-1,global_needles,blocksparse,1024,64,1,,0.2500,0.2266,58,1.249151e+00,4.074195e+00,0.1997
2026-05-18T01:23:51Z,hpcc-gpu-5-1,global_needles,blocksparse,1024,64,1,,0.5000,0.4648,119,1.040025e+00,4.217515e+00,0.3724
2026-05-18T01:23:51Z,hpcc-gpu-5-1,global_needles,blocksparse,1024,64,1,,1.0000,1.0000,256,0.000000e+00,0.000000e+00,0.5462
2026-05-18T01:23:51Z,hpcc-gpu-5-1,uniform,windowed,1024,64,1,16,,,,5.127368e+00,1.639943e+00,0.1232
2026-05-18T01:23:51Z,hpcc-gpu-5-1,uniform,windowed,1024,64,1,32,,,,3.747007e+00,1.408605e+00,0.1227
2026-05-18T01:23:51Z,hpcc-gpu-5-1,uniform,windowed,1024,64,1,64,,,,2.659909e+00,8.312851e-01,0.1229
2026-05-18T01:23:51Z,hpcc-gpu-5-1,uniform,windowed,1024,64,1,128,,,,1.800422e+00,6.120231e-01,0.1929
2026-05-18T01:23:51Z,hpcc-gpu-5-1,uniform,windowed,1024,64,1,256,,,,1.149198e+00,3.872376e-01,0.3288
2026-05-18T01:23:51Z,hpcc-gpu-5-1,uniform,windowed,1024,64,1,512,,,,6.116284e-01,2.728033e-01,0.5600
2026-05-18T01:23:51Z,hpcc-gpu-5-1,uniform,blocksparse,1024,64,1,,0.0250,0.0469,12,3.037028e+00,1.034488e+00,0.0805
2026-05-18T01:23:51Z,hpcc-gpu-5-1,uniform,blocksparse,1024,64,1,,0.0500,0.0820,21,2.859477e+00,1.017994e+00,0.1139
2026-05-18T01:23:51Z,hpcc-gpu-5-1,uniform,blocksparse,1024,64,1,,0.1000,0.1172,30,2.827710e+00,9.125776e-01,0.1402
2026-05-18T01:23:51Z,hpcc-gpu-5-1,uniform,blocksparse,1024,64,1,,0.2500,0.2266,58,2.061671e+00,9.024330e-01,0.1993
2026-05-18T01:23:51Z,hpcc-gpu-5-1,uniform,blocksparse,1024,64,1,,0.5000,0.4648,119,1.129259e+00,4.086429e-01,0.3723
2026-05-18T01:23:51Z,hpcc-gpu-5-1,uniform,blocksparse,1024,64,1,,1.0000,1.0000,256,0.000000e+00,0.000000e+00,0.5468
