kernel,N,d,H,w,G,causal,ms_median,ms_min,ms_max,mem_mb
blocksparse,1024,128,16,,,0,1.6449,1.6203,1.6624,36.00
blocksparse,2048,128,16,,,0,5.2960,5.2428,5.3226,68.00
blocksparse,4096,128,16,,,0,19.0552,18.9222,19.1941,132.00
blocksparse,8192,128,16,,,0,74.7979,74.7245,74.9453,260.00
blocksparse,16384,128,16,,,0,292.2220,292.0771,292.4148,516.00
blocksparse_fp16,1024,128,16,,,0,0.5227,0.5201,0.5263,36.00
blocksparse_fp16,2048,128,16,,,0,1.5270,1.5225,1.5302,68.00
blocksparse_fp16,4096,128,16,,,0,5.2636,5.2471,5.2786,132.00
blocksparse_fp16,8192,128,16,,,0,21.1283,21.1045,21.3054,260.00
blocksparse_fp16,16384,128,16,,,0,86.2942,86.2489,86.3205,516.00
