kernel,N,d,H,w,G,causal,ms_median,ms_min,ms_max,mem_mb
windowed,1024,128,16,256,0,0,6.0484,6.0114,6.0776,34.00
windowed,2048,128,16,256,0,0,12.5054,12.4131,12.5304,66.00
windowed,4096,128,16,256,0,0,25.2610,25.1833,25.4882,130.00
windowed,8192,128,16,256,0,0,50.8527,50.7558,51.0103,258.00
windowed,16384,128,16,256,0,0,101.8698,101.7842,101.9713,514.00
windowed_fp16,1024,128,16,256,0,0,1.5956,1.5830,1.6070,34.00
windowed_fp16,2048,128,16,256,0,0,3.2825,3.2668,3.2978,66.00
windowed_fp16,4096,128,16,256,0,0,6.6698,6.6066,6.6915,130.00
windowed_fp16,8192,128,16,256,0,0,13.3981,13.2780,13.4373,258.00
windowed_fp16,16384,128,16,256,0,0,26.5960,26.5609,26.8195,514.00
