mode,N,H,d_head,d_model,ms_median,ms_min,ms_max
sdpa_fp16_layer,1024,16,64,1024,0.37721601128578186,0.3746879994869232,0.3856959939002991
sdpa_fp16_layer,2048,16,64,1024,0.9134079813957214,0.9101439714431763,0.9154559969902039
sdpa_fp16_layer,4096,16,64,1024,2.791680097579956,2.781440019607544,2.799423933029175
sdpa_fp16_layer,8192,16,64,1024,9.481375694274902,9.467679977416992,9.709440231323242
sdpa_fp16_layer,16384,16,64,1024,34.98188781738281,34.969600677490234,35.004798889160156
sdpa_fp16_layer,32768,16,64,1024,135.84873962402344,135.4815673828125,137.24301147460938
ours_windowed_fp16_layer,1024,16,64,1024,0.9787840247154236,0.9646080136299133,1.0070719718933105
ours_windowed_fp16_layer,2048,16,64,1024,1.7776639461517334,1.7600959539413452,1.789247989654541
ours_windowed_fp16_layer,4096,16,64,1024,3.3928959369659424,3.3775999546051025,3.4004158973693848
ours_windowed_fp16_layer,8192,16,64,1024,6.715392112731934,6.657631874084473,6.735904216766357
ours_windowed_fp16_layer,16384,16,64,1024,13.184576034545898,13.105567932128906,13.250144004821777
ours_windowed_fp16_layer,32768,16,64,1024,25.99660873413086,25.769535064697266,26.06515121459961
ours_dense_fp16_layer,1024,16,64,1024,1.0588480234146118,1.0444799661636353,1.0797439813613892
ours_dense_fp16_layer,2048,16,64,1024,3.0448319911956787,2.9763519763946533,3.0579841136932373
ours_dense_fp16_layer,4096,16,64,1024,10.63753604888916,10.439007759094238,10.861727714538574
ours_dense_fp16_layer,8192,16,64,1024,41.67609786987305,41.6624641418457,41.77385711669922
ours_dense_fp16_layer,16384,16,64,1024,159.87741088867188,159.60476684570312,159.95904541015625
ours_dense_fp16_layer,32768,16,64,1024,631.3429565429688,631.246826171875,631.877197265625
