mode,N,H,d_head,d_model,ms_median,ms_min,ms_max
sdpa_fp16_layer,1024,16,128,2048,0.8376320004463196,0.8335360288619995,0.8478720188140869
sdpa_fp16_layer,2048,16,128,2048,2.164736032485962,2.1610560417175293,2.1687679290771484
sdpa_fp16_layer,4096,16,128,2048,6.440959930419922,6.411327838897705,6.512256145477295
sdpa_fp16_layer,8192,16,128,2048,21.265888214111328,21.241472244262695,21.329919815063477
sdpa_fp16_layer,16384,16,128,2048,77.4089584350586,77.25702667236328,77.5374755859375
ours_windowed_fp16_layer,1024,16,128,2048,2.3541760444641113,2.3411519527435303,2.3648319244384766
ours_windowed_fp16_layer,2048,16,128,2048,4.654911994934082,4.6387200355529785,4.671487808227539
ours_windowed_fp16_layer,4096,16,128,2048,9.273599624633789,9.250783920288086,9.290047645568848
ours_windowed_fp16_layer,8192,16,128,2048,18.452863693237305,18.43401527404785,18.477216720581055
ours_windowed_fp16_layer,16384,16,128,2048,36.361087799072266,36.30691146850586,36.393470764160156
ours_dense_fp16_layer,1024,16,128,2048,3.5661120414733887,3.545759916305542,3.5942399501800537
ours_dense_fp16_layer,2048,16,128,2048,11.950176239013672,11.859871864318848,12.478079795837402
ours_dense_fp16_layer,4096,16,128,2048,51.66339111328125,51.50556945800781,51.72208023071289
ours_dense_fp16_layer,8192,16,128,2048,198.56329345703125,198.33241271972656,198.74441528320312
ours_dense_fp16_layer,16384,16,128,2048,784.9853515625,784.3389282226562,785.4666748046875
