timestamp,host,gpu_model,kernel,N,d,H,w,G,B,rho_requested,rho_achieved,nnz,ms_median,ms_min,ms_max,mem_mb
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,dense,1024,64,16,,,,,,,3.2555,3.2254,3.2614,18.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,windowed,1024,64,16,256,8,,,,,2.0835,2.0511,2.1041,18.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,blocksparse,1024,64,16,,,64,0.1000,0.0898,23,0.3864,0.3732,0.3911,20.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,dense,2048,64,16,,,,,,,12.1743,12.0205,12.3373,34.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,windowed,2048,64,16,256,8,,,,,4.6073,4.5141,4.6310,34.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,blocksparse,2048,64,16,,,64,0.1000,0.0938,96,1.2869,1.2754,1.2991,36.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,dense,4096,64,16,,,,,,,45.5987,45.4834,45.6368,66.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,windowed,4096,64,16,256,8,,,,,9.6623,9.4629,9.7521,66.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,blocksparse,4096,64,16,,,64,0.1000,0.0996,408,4.7377,4.6940,4.7651,68.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,dense,8192,64,16,,,,,,,181.4747,180.7997,181.5007,130.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,windowed,8192,64,16,256,8,,,,,19.7229,19.3516,19.8662,130.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,blocksparse,8192,64,16,,,64,0.1000,0.1012,1658,18.1097,17.9701,18.3872,132.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,dense,16384,64,16,,,,,,,715.6411,715.2567,718.2383,258.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,windowed,16384,64,16,256,8,,,,,39.5832,39.0562,40.1309,258.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,blocksparse,16384,64,16,,,64,0.1000,0.1002,6565,69.1002,68.9823,69.2357,260.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,dense,32768,64,16,,,,,,,2849.2397,2849.0134,2849.6411,514.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,windowed,32768,64,16,256,8,,,,,80.0694,79.0450,81.2228,514.00
2026-06-05T01:52:12Z,hpcc-gpu-5-2,Quadro RTX 6000,blocksparse,32768,64,16,,,64,0.1000,0.1010,26474,274.1619,273.7040,274.3109,516.00
