ranks,kernel,N,H,d,B_block,rho,ms_per_iter
1,blocksparse,4096,16,64,64,0.10,4.9461
1,blocksparse,8192,16,64,64,0.10,17.1104
1,blocksparse,16384,16,64,64,0.10,65.8258
1,blocksparse_fp16,4096,16,64,64,0.10,2.2968
1,blocksparse_fp16,8192,16,64,64,0.10,7.6098
1,blocksparse_fp16,16384,16,64,64,0.10,28.5864
1,dense_fp16,4096,16,64,64,0.10,9.9367
1,dense_fp16,8192,16,64,64,0.10,40.5364
1,dense_fp16,16384,16,64,64,0.10,157.3091
2,blocksparse,4096,16,64,64,0.10,5.3275
2,blocksparse,8192,16,64,64,0.10,14.1503
2,blocksparse,16384,16,64,64,0.10,44.1647
2,blocksparse_fp16,4096,16,64,64,0.10,3.9253
2,blocksparse_fp16,8192,16,64,64,0.10,9.2228
2,blocksparse_fp16,16384,16,64,64,0.10,25.2727
2,dense_fp16,4096,16,64,64,0.10,8.0836
2,dense_fp16,8192,16,64,64,0.10,26.3371
2,dense_fp16,16384,16,64,64,0.10,91.0610
4,blocksparse,4096,16,64,64,0.10,5.6375
4,blocksparse,8192,16,64,64,0.10,12.8006
4,blocksparse,16384,16,64,64,0.10,33.4386
4,blocksparse_fp16,4096,16,64,64,0.10,4.8421
4,blocksparse_fp16,8192,16,64,64,0.10,10.1975
4,blocksparse_fp16,16384,16,64,64,0.10,23.6068
4,dense_fp16,4096,16,64,64,0.10,6.9096
4,dense_fp16,8192,16,64,64,0.10,19.1211
4,dense_fp16,16384,16,64,64,0.10,57.4130
