driver,ranks,kernel,N,H,d,extra,ms_per_iter
seqpar,1,windowed,4096,16,128,w=256,24.8230
seqpar,1,windowed,8192,16,128,w=256,49.7952
seqpar,1,windowed,16384,16,128,w=256,99.7408
seqpar,1,windowed_fp16,4096,16,128,w=256,5.9851
seqpar,1,windowed_fp16,8192,16,128,w=256,11.9763
seqpar,1,windowed_fp16,16384,16,128,w=256,23.8376
seqpar,2,windowed,4096,16,128,w=256,13.3336
seqpar,2,windowed,8192,16,128,w=256,26.0698
seqpar,2,windowed,16384,16,128,w=256,51.0851
seqpar,2,windowed_fp16,4096,16,128,w=256,3.8748
seqpar,2,windowed_fp16,8192,16,128,w=256,6.9005
seqpar,2,windowed_fp16,16384,16,128,w=256,12.7785
seqpar,4,windowed,4096,16,128,w=256,7.1502
seqpar,4,windowed,8192,16,128,w=256,13.4040
seqpar,4,windowed,16384,16,128,w=256,26.0816
seqpar,4,windowed_fp16,4096,16,128,w=256,2.4301
seqpar,4,windowed_fp16,8192,16,128,w=256,3.9521
seqpar,4,windowed_fp16,16384,16,128,w=256,6.8809
headpar,1,blocksparse,4096,16,128,B=32/rho=0.10,19.7558
headpar,1,blocksparse,8192,16,128,B=32/rho=0.10,75.9908
headpar,1,blocksparse_fp16,4096,16,128,B=32/rho=0.10,5.9330
headpar,1,blocksparse_fp16,8192,16,128,B=32/rho=0.10,22.3731
headpar,2,blocksparse,4096,16,128,B=32/rho=0.10,15.4256
headpar,2,blocksparse,8192,16,128,B=32/rho=0.10,49.3063
headpar,2,blocksparse_fp16,4096,16,128,B=32/rho=0.10,8.3791
headpar,2,blocksparse_fp16,8192,16,128,B=32/rho=0.10,22.0609
headpar,4,blocksparse,4096,16,128,B=32/rho=0.10,13.4429
headpar,4,blocksparse,8192,16,128,B=32/rho=0.10,36.1288
headpar,4,blocksparse_fp16,4096,16,128,B=32/rho=0.10,9.7422
headpar,4,blocksparse_fp16,8192,16,128,B=32/rho=0.10,21.9560
headpar,1,dense,4096,16,128,,188.0079
headpar,1,dense_fp16,4096,16,128,,49.8303
headpar,4,dense,4096,16,128,,58.5504
headpar,4,dense_fp16,4096,16,128,,21.6685
