ranks,kernel,N,H,w,ms_per_iter
1,windowed,4096,16,256,4.0873
1,windowed,8192,16,256,8.2973
1,windowed,16384,16,256,16.6075
1,windowed_fp16,4096,16,256,1.0006
1,windowed_fp16,8192,16,256,1.9881
1,windowed_fp16,16384,16,256,3.9686
2,windowed,4096,16,256,2.5942
2,windowed,8192,16,256,4.6917
2,windowed,16384,16,256,8.8697
2,windowed_fp16,4096,16,256,0.9489
2,windowed_fp16,8192,16,256,1.4512
2,windowed_fp16,16384,16,256,2.4485
4,windowed,4096,16,256,1.7396
4,windowed,8192,16,256,2.8410
4,windowed,16384,16,256,4.9026
4,windowed_fp16,4096,16,256,0.7929
4,windowed_fp16,8192,16,256,1.0644
4,windowed_fp16,16384,16,256,1.5620
