timestamp,host,gpu_model,strategy,kernel,N,d,H,w,G,causal,ranks,ms_per_iter,mode
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,dense,4096,64,16,0,0,0,1,34.1462,strong
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,dense,4096,64,16,0,0,0,2,21.1393,strong
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,dense,4096,64,16,0,0,0,4,13.7555,strong
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,dense,8192,64,16,0,0,0,1,136.9266,strong
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,dense,8192,64,16,0,0,0,2,74.1743,strong
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,dense,8192,64,16,0,0,0,4,44.7272,strong
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,windowed,4096,64,16,256,8,0,1,7.4394,strong
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,windowed,4096,64,16,256,8,0,2,7.3380,strong
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,windowed,4096,64,16,256,8,0,4,7.2573,strong
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,windowed,8192,64,16,256,8,0,1,15.2245,strong
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,windowed,8192,64,16,256,8,0,2,14.8371,strong
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,windowed,8192,64,16,256,8,0,4,14.5850,strong
2026-05-10T06:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,seqpar,windowed,4096,64,16,256,0,0,1,4.6169,strong
2026-05-10T06:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,seqpar,windowed,4096,64,16,256,0,0,2,2.8626,strong
2026-05-10T06:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,seqpar,windowed,4096,64,16,256,0,0,4,1.9235,strong
2026-05-10T06:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,seqpar,windowed,8192,64,16,256,0,0,1,9.3622,strong
2026-05-10T06:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,seqpar,windowed,8192,64,16,256,0,0,2,5.2594,strong
2026-05-10T06:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,seqpar,windowed,8192,64,16,256,0,0,4,3.2175,strong
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,dense,4096,64,4,0,0,0,1,9.5801,weak
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,dense,4096,64,8,0,0,0,2,11.0408,weak
2026-05-10T05:00:00Z,hpcc-gpu-5-2,Quadro RTX 6000,headpar,dense,4096,64,16,0,0,0,4,13.7419,weak
